City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
164,durham,36.0335,-78.8664,32.92,50,40,2.24,US,1691614508
165,puerto baquerizo moreno,-0.9,-89.6,27.55,69,75,6.69,EC,1691614508
166,tomatlan,19.9333,-105.25,33.7,60,15,4.3,MX,1691614508
167,juneau,58.3019,-134.4197,14.67,97,100,5.14,US,1691614384
168,saipan,15.1355,145.701,28.39,100,100,3.6,MP,1691614508
169,scottburgh,-30.2867,30.7532,18.11,79,100,2.53,ZA,1691614508
170,wakkanai,45.4094,141.6739,17.27,97,99,3.13,JP,1691614508
171,sao joao da barra,-21.6403,-41.0511,23.05,82,69,5.74,BR,1691614509
172,fort bragg,35.139,-79.006,33.85,41,20,4.63,US,1691614327
173,xilin hot,43.9667,116.0333,15.44,79,2,1.93,CN,1691614509
174,tralee,52.2704,-9.7026,16.61,93,0,3.42,IE,1691614509
175,yellowknife,62.456,-114.3525,21.29,43,75,7.72,CA,1691614509
176,ceelbuur,4.685,46.6176,24.09,74,95,8.58,SO,1691614509
177,micheweni,-4.9667,39.8333,24.38,83,23,6.02,TZ,1691614509
178,whitecourt,54.1502,-115.6855,15.58,100,100,4.12,CA,1691614510
179,fuman,37.2273,49.3142,24.72,59,0,1.17,IR,1691614510
180,port lincoln,-34.7333,135.8667,10.96,69,70,4.53,AU,1691614510
181,greenville,35.6127,-77.3663,32.09,46,40,3.09,US,1691614250
182,sihanoukville,10.6093,103.5296,27.97,89,40,2.06,KH,1691614510
183,santana,-0.0583,-51.1817,32.1,70,40,6.17,BR,1691614507
184,mili,6.0815,171.735,27.9,73,78,1.5,MH,1691614311
185,kargasok,59.0556,80.8572,13.4,98,100,4.38,RU,1691614511
186,anadyr,64.75,177.4833,10.28,81,75,3.58,RU,1691614511
187,santa maria,-29.6842,-53.8069,14.61,94,100,3.09,BR,1691614455
188,atafu village,-8.5421,-172.5159,28.29,79,100,6.71,TK,1691614511
189,qaqortoq,60.7167,-46.0333,7.69,75,16,1.94,GL,1691614312
190,labrador city,52.9463,-66.9114,12.95,94,100,3.6,CA,1691614334
191,codrington,-38.2667,141.9667,10.34,82,74,7.56,AU,1691614512
192,sungai penuh,-2.0833,101.3833,17.07,96,20,1.5,ID,1691614512
193,berrahal,36.8353,7.4533,22.85,62,0,1.26,DZ,1691614512
194,spas-demensk,54.4122,34.0226,12.52,90,0,1.78,RU,1691614512
195,polyarnyy,69.1989,33.4478,19.08,73,0,2.85,RU,1691614512
196,barras,-4.2444,-42.2944,29.13,49,87,1.71,BR,1691614512
197,pisco,-13.7,-76.2167,21.03,78,100,3.09,PE,1691614512
198,luderitz,-26.6481,15.1594,23.46,44,78,2.33,NA,1691614512
199,happy valley-goose bay,53.3168,-60.3315,17.17,82,100,4.12,CA,1691614513
200,eureka,40.8021,-124.1637,28.15,72,44,2.24,US,1691614513
201,quellon,-43.1167,-73.6167,11.14,93,75,9.77,CL,1691614513
202,alesund,62.4723,6.1549,12.64,89,75,5.14,NO,1691614513
203,chernyshevsk,52.5243,117.0174,16.72,54,84,1.52,RU,1691614513
204,nagqu,31.5,92.0,5.93,80,72,1.65,CN,1691614513
205,ola,59.5833,151.2833,8.97,62,7,4.15,RU,1691614513
206,medeiros neto,-17.3739,-40.2206,21.55,78,46,4.34,BR,1691614513
207,mariehamn,60.0973,19.9348,14.92,77,20,5.14,AX,1691614514
208,ardestan,33.3761,52.3694,28.35,25,0,1.16,IR,1691614514
209,laguna,38.421,-121.4238,33.51,41,0,1.34,US,1691614514
210,suruc,36.9761,38.425,30.27,40,0,4.01,TR,1691614514
211,marsh harbour,26.5412,-77.0636,30.19,69,78,0.69,BS,1691614514
212,bubaque,11.2833,-15.8333,27.24,82,74,3.14,GW,1691614514
213,pacific grove,36.6177,-121.9166,23.55,77,20,4.47,US,1691614349
214,orapa,-21.2833,25.3667,14.81,35,0,8.03,BW,1691614514
215,glace bay,46.1969,-59.957,18.83,92,100,10.29,CA,1691614514
216,cockburn town,21.4612,-71.1419,29.03,84,82,7.75,TC,1691614319
217,taoudenni,22.6783,-3.9836,42.29,11,37,9.26,ML,1691614362
218,arkhangel'sk,64.5401,40.5433,16.19,83,4,2.16,RU,1691614515
219,whitehorse,60.7161,-135.0538,19.5,45,75,3.58,CA,1691614289
220,ayorou,14.7308,0.9174,29.65,62,92,2.23,NE,1691614515
221,ambon,-3.6954,128.1814,26.04,16,100,6.23,ID,1691614515
222,saldanha,-33.0117,17.9442,13.03,81,0,4.06,ZA,1691614479
223,hammerfest,70.6634,23.6821,23.25,64,0,1.54,NO,1691614515
224,praia da vitoria,38.7333,-27.0667,26.14,78,20,3.38,PT,1691614515
225,alpena,45.0617,-83.4327,30.18,43,0,5.14,US,1691614330
226,ancud,-41.8697,-73.8203,10.93,91,100,10.11,CL,1691614516
227,polewali,-3.4324,119.3435,23.64,89,18,1.91,ID,1691614516
228,zeya,53.75,127.2667,15.66,78,18,1.3,RU,1691614516
229,bontang,0.1333,117.5,24.32,90,100,3.27,ID,1691613959
230,tazacorte,28.629,-17.9293,23.54,91,0,6.69,ES,1691614516
231,arraial do cabo,-22.9661,-42.0278,21.92,78,75,6.17,BR,1691614516
232,colchani,-20.3,-66.9333,8.97,27,0,3.32,BO,1691614517
233,bodo,67.28,14.405,18.76,60,0,6.17,NO,1691614517
234,jaunjelgava,56.6167,25.0833,11.38,93,30,2.33,LV,1691614517
235,giyani,-23.3025,30.7187,16.5,59,1,4.49,ZA,1691614517
236,greytown,-29.0642,30.5928,11.47,91,67,0.83,ZA,1691614517
237,gaalkacyo,6.7697,47.4308,26.56,55,100,10.26,SO,1691614517
238,el granada,37.5027,-122.4694,31.71,70,100,5.14,US,1691614297
239,kodiak,57.79,-152.4072,11.73,100,100,2.06,US,1691614517
240,enoch,37.7733,-113.0244,30.14,20,0,6.17,US,1691614518
241,kanggye,40.9695,126.5852,20.55,96,100,0.84,KP,1691614518
242,iringa,-7.7667,35.7,14.54,66,60,5.28,TZ,1691613923
243,bereeda,11.8704,51.0579,30.58,56,97,4.5,SO,1691614518
244,howard springs,-12.497,131.047,22.95,77,95,2.89,AU,1691614518
245,vila velha,-20.3297,-40.2925,22.97,88,75,3.6,BR,1691614518
246,silva jardim,-22.6508,-42.3917,21.94,86,60,3.6,BR,1691614518
247,gamba,-2.65,10.0,21.86,89,59,2.43,GA,1691614518
248,jiwani,25.05,61.7417,26.91,83,98,2.96,PK,1691614518
249,queenstown,-31.8976,26.8753,9.73,92,15,1.85,ZA,1691614518
250,mount isa,-20.7333,139.5,6.87,81,6,0.0,AU,1691614518
251,carnarvon,-24.8667,113.6333,19.4,75,28,4.53,AU,1691614519
252,mandalgovi,45.7625,106.2708,21.47,40,100,5.98,MN,1691614519
253,ylitornio,66.3089,23.6773,13.67,70,12,1.31,FI,1691614519
254,tanout,14.9709,8.8879,31.52,44,0,3.32,NE,1691614519
255,madalena,41.2162,-8.3345,19.7,88,0,0.81,PT,1691614519
256,island harbour,50.724,-1.2758,18.42,88,0,1.63,GB,1691614519
257,abegondo,43.2167,-8.2833,22.12,74,40,4.12,ES,1691614519
258,tulsipur,28.131,82.2973,23.91,93,98,0.73,NP,1691614199
259,dibrugarh,27.4833,94.9,25.3,97,84,1.0,IN,1691614519
260,korsakov,46.6328,142.7813,15.91,93,100,4.43,RU,1691614520
261,entebbe,0.0644,32.4469,22.36,69,13,0.91,UG,1691614520
262,hobyo,5.3505,48.5268,24.76,83,85,10.54,SO,1691614520
263,eirunepe,-6.6603,-69.8736,33.73,42,77,0.96,BR,1691614520
264,fort mcmurray,56.7268,-111.381,14.77,94,100,5.14,CA,1691614520
265,salinopolis,-0.6136,-47.3561,27.06,78,39,5.94,BR,1691614339
266,qa'en,33.7265,59.1844,22.46,31,0,6.2,IR,1691614520
267,al jahra',29.3375,47.6581,35.35,36,20,0.33,KW,1691614520
268,kismayo,-0.3582,42.5454,24.19,83,35,6.31,SO,1691614521
269,hilo,19.7297,-155.09,27.93,86,100,3.09,US,1691614521
270,nacala,-14.5428,40.6728,21.71,76,79,4.02,MZ,1691614521
271,adam,22.3756,57.5233,31.08,46,59,2.53,OM,1691614521
272,tsiombe,-25.3,45.4833,19.17,88,5,3.03,MG,1691614521
273,west richland,46.3043,-119.3614,34.86,31,0,3.13,US,1691614521
274,gornozavodsk,58.3758,58.3211,14.48,91,94,1.56,RU,1691614521
275,castillos,-34.1667,-53.8333,15.02,85,58,5.68,UY,1691614521
276,pangody,65.85,74.4859,10.0,71,85,8.85,RU,1691614521
277,palikir - national government center,6.9248,158.1611,27.19,78,95,4.93,FM,1691614522
278,bemidji,47.4736,-94.8803,23.43,53,75,4.63,US,1691614522
279,murzuq,25.9155,13.9184,28.57,18,0,4.58,LY,1691614522
280,gutao,37.2025,112.1781,21.8,82,48,1.28,CN,1691614522
281,floro,61.5996,5.0328,10.04,93,100,5.66,NO,1691614301
282,port moresby,-9.4431,147.1797,23.68,73,40,5.14,PG,1691614522
283,domodossola,46.1165,8.2931,21.51,68,6,3.08,IT,1691614522
284,tiksi,71.6872,128.8694,16.46,52,8,3.17,RU,1691614522
285,nizhniy odes,63.6445,54.856,14.13,66,4,1.64,RU,1691614522
286,vila do maio,15.1333,-23.2167,27.44,75,100,6.11,CV,1691614523
287,odiongan,12.4017,121.9919,27.63,81,66,3.87,PH,1691614523
288,saynshand,44.8824,110.1163,23.85,43,96,7.14,MN,1691614523
289,newman,37.3138,-121.0208,32.91,14,0,3.87,US,1691614523
290,gadarwara,22.9167,78.7833,23.43,90,43,3.12,IN,1691614523
291,kayyerkan,69.3786,87.7439,13.5,100,95,6.57,RU,1691614523
292,enewetak,11.3474,162.3373,28.51,77,84,6.47,MH,1691614523
293,tecuala,22.3986,-105.4569,34.85,54,71,4.83,MX,1691614523
294,trincomalee,8.5711,81.2335,26.91,75,100,6.81,LK,1691614523
295,crane,31.3974,-102.3501,40.54,14,1,3.03,US,1691614523
296,hithadhoo,-0.6,73.0833,27.06,76,63,1.79,MV,1691614523
297,remire-montjoly,4.9167,-52.2667,30.02,70,0,5.66,GF,1691614524
298,thunder bay,48.4001,-89.3168,23.95,38,40,6.17,CA,1691614349
299,bertoua,4.5833,13.6833,19.81,97,91,0.76,CM,1691614524
300,papao,-17.75,-149.55,27.82,72,100,7.17,PF,1691614524
301,daru,-9.0763,143.2092,23.72,82,80,6.46,PG,1691614360
302,poronaysk,49.2167,143.1167,14.7,92,100,1.38,RU,1691614524
303,visegrad,43.7847,19.2992,16.24,79,100,0.81,BA,1691614524
304,gumdag,39.2061,54.5906,31.82,21,0,1.65,TM,1691614524
305,aykhal,66.0,111.5,14.91,61,90,2.46,RU,1691614524
306,margate,51.3813,1.3862,17.05,79,0,1.79,GB,1691614524
307,ambodifotatra,-16.9833,49.85,22.27,82,31,6.89,MG,1691614525
308,sheridan,44.8333,-106.9173,29.83,34,0,3.09,US,1691614525
309,san pedro,14.35,121.0167,28.57,88,20,2.57,PH,1691614420
310,nadym,65.5333,72.5167,8.26,78,0,8.8,RU,1691614525
311,tlaltenango de sanchez roman,21.7833,-103.3167,26.71,47,58,2.35,MX,1691614525
312,mek'ele,13.4967,39.4753,18.05,76,100,0.79,ET,1691614525
313,vadso,70.0744,29.7487,23.49,77,9,4.12,NO,1691614525
314,wailua homesteads,22.0669,-159.378,31.24,74,75,8.75,US,1691614525
315,itacoatiara,-3.1431,-58.4442,33.24,42,76,2.59,BR,1691614280
316,gorgan,36.8387,54.4348,23.98,73,0,0.0,IR,1691614525
317,turpan,42.9333,89.1667,32.59,27,30,1.55,CN,1691614526
318,popondetta,-8.7537,148.2534,22.11,78,94,1.04,PG,1691614526
319,valparaiso,-33.0393,-71.6273,15.0,91,100,5.66,CL,1691614526
320,mehran,33.1222,46.1646,37.07,12,5,1.06,IR,1691614526
321,celestun,20.8667,-90.4,30.6,68,7,6.16,MX,1691614326
322,victoria falls,-17.9235,25.843,15.67,39,0,2.04,ZW,1691614526
323,shortandy,51.7006,70.9994,21.94,39,100,4.14,KZ,1691614526
324,north myrtle beach,33.816,-78.68,32.94,69,0,4.63,US,1691614526
325,alamosa,37.4695,-105.87,26.99,18,0,2.57,US,1691614526
326,les anglais,18.3054,-74.2197,30.2,74,31,1.71,HT,1691614526
327,severo-yeniseyskiy,60.3725,93.0408,10.55,86,31,2.03,RU,1691614526
328,voi,-3.3945,38.563,20.14,79,29,4.34,KE,1691614527
329,eyl,7.9803,49.8164,25.29,75,41,10.16,SO,1691614331
330,ugoofaaru,5.6667,73.0,27.83,79,100,6.57,MV,1691614527
331,broken hill,-31.95,141.4333,10.44,82,40,4.48,AU,1691613962
332,yarmouth,41.7057,-70.2286,29.03,58,0,3.6,US,1691614527
333,puerto esperanza,-26.0152,-54.6731,20.82,89,96,1.09,AR,1691614527
334,tolanaro,-25.0319,46.9987,20.04,88,20,7.2,MG,1691614527
335,le mars,42.7942,-96.1656,27.14,65,40,2.06,US,1691614527
336,pulawy,51.4166,21.9694,16.51,95,97,2.52,PL,1691614527
337,rongelap,11.1635,166.8941,27.9,76,41,2.85,MH,1691614527
338,neiafu,-18.65,-173.9833,24.38,94,20,0.0,TO,1691614528
339,albina,5.5,-54.05,28.17,69,60,3.3,SR,1691614528
340,evinayong,1.4368,10.5512,20.29,94,80,0.73,GQ,1691614528
341,ponta delgada,37.7333,-25.6667,23.4,94,40,3.6,PT,1691614528
342,mezhdurechenskiy,59.6,65.9333,15.35,83,100,1.4,RU,1691614528
343,teapa,17.55,-92.95,35.32,62,61,1.9,MX,1691614528
344,namtsy,62.7161,129.6658,13.33,67,10,1.77,RU,1691614528
345,imbituba,-28.24,-48.6703,18.81,96,100,5.68,BR,1691614528
346,wenchang,30.904,118.4887,24.3,92,65,0.76,CN,1691614529
347,san antonio de pale,-1.4014,5.6325,23.75,81,90,5.63,GQ,1691614529
348,vilyuchinsk,52.9306,158.4028,14.15,75,100,2.3,RU,1691614529
349,kayangel,8.0823,134.7173,27.39,79,51,7.09,PW,1691614529
350,east london,-33.0153,27.9116,17.14,80,65,7.55,ZA,1691614478
351,sao tome,0.3365,6.7273,24.45,82,43,3.22,ST,1691614529
352,chatham,51.3789,0.5279,20.62,63,6,0.45,GB,1691614529
353,sesena,40.1047,-3.6979,34.31,26,62,5.21,ES,1691614529
354,zaraza,9.3503,-65.3245,31.03,63,88,0.92,VE,1691614529
355,nemuro,43.3236,145.575,18.81,100,100,5.85,JP,1691614530
356,kiruna,67.8557,20.2251,12.51,76,0,2.06,SE,1691614530
357,greymouth,-42.4667,171.2,4.38,78,46,3.98,NZ,1691614530
358,vernon,50.2581,-119.2691,24.61,53,100,1.03,CA,1691614530
359,bandarbeyla,9.4942,50.8122,24.21,84,98,12.84,SO,1691614530
360,baikonur,45.6167,63.3167,27.8,43,0,2.86,KZ,1691614530
361,kavieng,-2.5744,150.7967,27.15,79,95,6.56,PG,1691614530
362,hasaki,35.7333,140.8333,26.28,78,55,5.31,JP,1691614313
363,tateyama,34.9833,139.8667,26.4,86,34,4.03,JP,1691614335
